PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,1.0,"Braund, Mr. Owen Harris",1,0.2711736617240512,0.125,0.0,A/5 21171,0.014151057562208049,B96 B98,0.6666666666666666
2,1,0.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,0.4722292033174164,0.125,0.0,PC 17599,0.13913573538264068,C85,0.0
3,1,1.0,"Heikkinen, Miss. Laina",0,0.32143754712239253,0.0,0.0,STON/O2. 3101282,0.015468569817999833,B96 B98,0.6666666666666666
4,1,0.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,0.4345312892686604,0.125,0.0,113803,0.10364429745562033,C123,0.6666666666666666
5,0,1.0,"Allen, Mr. William Henry",1,0.4345312892686604,0.0,0.0,373450,0.015712553569072387,B96 B98,0.6666666666666666
6,0,1.0,"Moran, Mr. James",1,0.3679205534940792,0.0,0.0,330877,0.01650950209357577,B96 B98,0.3333333333333333
7,0,0.0,"McCarthy, Mr. Timothy J",1,0.6732847449107816,0.0,0.0,17463,0.10122885832000206,E46,0.6666666666666666
8,0,1.0,"Palsson, Master. Gosta Leonard",1,0.01985423473234481,0.375,0.16666666666666666,349909,0.04113566043083236,B96 B98,0.6666666666666666
9,1,1.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,0.33400351847197784,0.0,0.3333333333333333,347742,0.021730754366528396,B96 B98,0.6666666666666666
10,1,0.5,"Nasser, Mrs. Nicholas (Adele Achem)",0,0.17064589092736868,0.125,0.0,237736,0.058694292654020104,B96 B98,0.0
11,1,1.0,"Sandstrom, Miss. Marguerite Rut",0,0.04498617743151546,0.125,0.16666666666666666,PP 9549,0.03259622914329302,G6,0.6666666666666666
12,1,0.0,"Bonnell, Miss. Elizabeth",0,0.723548630309123,0.0,0.0,113783,0.051822148727810165,C103,0.6666666666666666
13,0,1.0,"Saundercock, Mr. William Henry",1,0.24604171902488062,0.0,0.0,A/5. 2151,0.015712553569072387,B96 B98,0.6666666666666666
14,0,1.0,"Andersson, Mr. Anders Johan",1,0.4847951746670017,0.125,0.8333333333333333,347082,0.06104473451835265,B96 B98,0.6666666666666666
15,0,1.0,"Vestrom, Miss. Hulda Amanda Adolfina",0,0.17064589092736868,0.0,0.0,350406,0.015330377421392339,B96 B98,0.6666666666666666
16,1,0.5,"Hewlett, Mrs. (Mary D Kingcome) ",0,0.685850716260367,0.0,0.0,248706,0.03122992013728673,B96 B98,0.6666666666666666
17,0,1.0,"Rice, Master. Eugene",1,0.01985423473234481,0.5,0.16666666666666666,382652,0.05684821399990475,B96 B98,0.3333333333333333
18,1,0.5,"Williams, Mr. Charles Eugene",1,0.3679205534940792,0.0,0.0,244373,0.025374310111545468,B96 B98,0.6666666666666666
19,0,1.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,0.38426740387031916,0.125,0.0,345763,0.03513366015444757,B96 B98,0.6666666666666666
20,1,1.0,"Masselmani, Mrs. Fatima",0,0.3679205534940792,0.0,0.0,2649,0.014102260811993537,B96 B98,0.0
21,0,0.5,"Fynney, Mr. Joseph J",1,0.4345312892686604,0.0,0.0,239865,0.050748620223090936,B96 B98,0.6666666666666666
22,1,0.5,"Beesley, Mr. Lawrence",1,0.4219653179190751,0.0,0.0,248698,0.025374310111545468,D56,0.6666666666666666
23,1,1.0,"McGowan, Miss. Anna ""Annie""",0,0.18321186227695402,0.0,0.0,330923,0.015671954672893913,B96 B98,0.3333333333333333
24,1,0.0,"Sloper, Mr. William Thompson",1,0.34656948982156316,0.0,0.0,113788,0.06929138530460494,A6,0.6666666666666666
25,0,1.0,"Palsson, Miss. Torborg Danira",0,0.09525006282985675,0.375,0.16666666666666666,349909,0.04113566043083236,B96 B98,0.6666666666666666
